Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
N/A,1402320555,coin value app,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320554,coin detector,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320553,free coin snap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320552,snapcoin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320551,coin grader,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320550,snap coin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320549,coinapp,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320548,scan coins,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320547,coun identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320546,identify coins free,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320545,snapcoin identify coin value,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320544,coonsnap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320543,counsnap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320542,coin snap coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320541,coin value identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320540,coinsnap free,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320539,coin appraisal,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320538,coinsnap: coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320537,coin snap: coin identifier.,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320536,coin identifier - coinz,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320535,coinid - coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320534,coin identifier - coin snap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320533,coin snap - coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320532,coin identifier : coinscan,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320531,coin identifier: coin id,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320530,free coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320529,coin scan identify value rare,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320528,coins value,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320527,coin value free,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320526,free coin app,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320525,free coin scanner,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320524,coin id,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320523,coin counter,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320522,coinio coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320521,coin collector,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320180,coin prices,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320179,coin value identifier coinsnap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320178,coin scanner identify coins,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320177,coin identifier coin checker,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320176,coin snap: identify coin value,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320175,coin snap identify coin value,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320174,coin snap free,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320173,coin scanner,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320172,coinsnap coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320171,coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1383182115,coin snap identify coin value,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1383182114,coin snap free,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1383182113,coinsnap coin identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1383182112,free coin identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
